"Weight","Genotype","Age"
"61.5","wt",5
65,"wt",5
"73.5","wt",5
"89.5","wt",5
"64.5","Tg",5
"60.5","Tg",5
50,"Tg",5
57,"Tg",5
61,"Tg",5
65,"Tg",5
56,"Tg",5
"72.5","Tg",5
"61.5","Tg",5
"52.5","Tg",5
56,"Tg",5
98,"wt",8
116,"wt",8
109,"wt",8
109,"wt",8
"60.5","Tg",8
"55.5","Tg",8
88,"Tg",8
106,"Tg",8
86,"Tg",8
82,"Tg",8
74,"Tg",8
103,"wt",11
123,"wt",11
108,"Tg",11
88,"Tg",11
87,"Tg",11
"98.5","Tg",11
59,"Tg",11
"69.5","Tg",11
91,"Tg",11
127,"wt",15
146,"wt",15
121,"wt",15
107,"Tg",15
109,"Tg",15
"58.5","Tg",15
"57.5","Tg",15
"68.5","Tg",15
117,"Tg",15
"90.5","Tg",15
110,"Tg",15
81,"Tg",15
